Sentence,Emotion
"Ja, hem had geen zwart shirt aan.",surprise
"Ja, hij had geen zwart shirt aan.",surprise
"Van alle plekken dat je kan pinnen, dan kies je het centraal station.",disgust
"van alle plekken DAT je kan pinnen, dan kies je het centraal station.",disgust
"van alle plekken dat je kan pinnen, dan kies je het centraal station.",disgust
"Van alle plekken DAT je kan pinnen, dan kies je het centraal station.",disgust
"thema alle plekken dat je kan pinnen, dan kies je het centraal station.",disgust
"Dat snap ego dan echtverbintenis niet. O, ja.",sadness
"DAT snap ik dan huwelijk niet. O, ja.",sadness
"DAT snap ik dan echt niet. O, ja.",sadness
"We moeten hier, over het hek, want dan kunnen ze als het goed zijn ons niet zien.",fear
"We moeten hier, over het hek, vistuig dan kunnen ze lijken het goed is ons niet zien.",fear
"We moeten hier, over het hek, want dan kunnen ze als het goed is ons agrafe zien.",fear
"We moeten hier, over het hek, want dan kunnen ze zoeken het propriëteit is ons niet zien.",fear
"We moeten hier, over het hek, want dan kunnen ze als het goed is ons kram zien.",fear
"We moeten hier, over het hek, want dan kunnen ze lijken het goed is ons niet zien.",fear
Ze blijven niet neerzitten bij die pinautomaat.,surprise
Ze blijven niet zitten bij die pinautomaat.,surprise
Ze consolideren niet zitten bij die pinautomaat.,surprise
"Kijk, oor Jeroen zegt, ze gaan agrafe naast het pinapparaat zitten...",surprise
"Kijk, wat Jeroen zegt, ze geraken niet naast het pinapparaat zitten...",surprise
"Kijk, wat Jeroen zegt, ze treden niet naast het pinapparaat zitten...",surprise
en wachten op zijn stoel tot wij aankomen rijden. Dus ze gaan door.,surprise
en wachten op hun stoel tot wij verdikken rijden. Dus ze gaan door.,surprise
en klaarliggen op hun stoel tot wij aankomen rijden. Dus ze gaan door.,surprise
Hierlangs? Langs die videocamera af? Ga langs die camera af.,fear
Hierlangs? Langs die filmcamera af? Ga langs die videocamera af.,fear
Hierlangs? Langs die camera af? Ga langs die filmcamera af.,fear
Hierlangs? Langs die filmcamera af? Ga langs die fototoestel af.,fear
Hierlangs? Langs die filmcamera af? Ga langs die camera af.,fear
Hierlangs? Langs die fotocamera af? Ga langs die videocamera af.,fear
"kijk of we dat misschien... Hij heeft ons sowieso gezien, die camera.",fear
"zienswijze of we dat misschien... Hij heeft ons sowieso gezien, die camera.",fear
"Kijk of we dat misschien... hun heeft ons sowieso gezien, die camera.",fear
"Kijk of we DAT misschien... Hij heeft ons sowieso gezien, die camera.",fear
"Zie jij iemand? Nee, hè?",fear
Wat doen schepping die mensen hier met de camera?,sadness
Wat bezoeken al die mensen hier met de camera?,sadness
Wat doen al die volk hier met de camera?,sadness
"O, wauw.",surprise
Wereldgezondheidsorganisatie een timing.,surprise
wereldgezondheidsorganisatie een timing.,surprise
tofu een timing.,surprise
ik kom hier nooit meer terug.,disgust
Ik coupe hier nooit meer terug.,disgust
hooghartigheid kom hier nooit meer terug.,disgust
Ik schaal hier nooit meer terug.,disgust
ik coupe hier nooit meer terug.,disgust
"DAT is het straatje, zeg maar.",surprise
"DAT are het straatje, zeg maar.",surprise
"Dan komt-ie hier, staat-ie daar te wachten...",surprise
en dan kom jij uit DAT paadje daar zo.,surprise
en dan schaal jij uit DAT paadje daar zo.,surprise
en dan coupe jij uit DAT paadje daar zo.,surprise
Er zit niets in.,sadness
Er zit nul in.,sadness
Er zit niks in.,sadness
Dus DAT are toch ook raar?,sadness
Dus DAT is toch ook raar?,sadness
"Ik had hem prongelijk aangezet, maar ik had meteen die accumulator er verweer uitgehaald.",fear
"Ik had hem prongelijk aangezet, maar ik had meteen die accu er weer uitgehaald.",fear
"hooghartigheid had hem prongelijk aangezet, maar ik had meteen die accu er weer uitgehaald.",fear
"ego had hem prongelijk aangezet, maar ik had meteen die accu er weer uitgehaald.",fear
"Ik had hem prongelijk aangezet, bedenking ik had meteen die accu er weer uitgehaald.",fear
are dat nou wereldruim weg? Weet ik niet.,sadness
Is dat nou schepping weg? Weet hooghartigheid niet.,sadness
is DAT nou al weg? Weet ik niet.,sadness
Het waarschuwingsbelletje van begunstiger punt is uitgebleven.,surprise
Het waarschuwingsbelletje van begunstiger Mark is uitgebleven.,surprise
Het waarschuwingsbelletje thema helper mark is uitgebleven.,surprise
Romy en Kelly hebben besloten toch een andere slaapplek te zoeken.,fear
Romy en Kelly lijden besloten toch een andere slaapplek te zoeken.,fear
Niet? meent u?,sadness
Niet? compascuum u?,sadness
"Ja, ego heb er nog nooit een woonwagenbewoner in gezien.",surprise
"Ja, hooghartigheid heb er nog nooit een woonwagenbewoner in gezien.",surprise
hooghartigheid heb nog nooit in een huis gewoond.,surprise
hooghartigheid heb nog nooit in een bouw gewoond.,surprise
hooghartigheid heb nog nooit in een bouwwerk gewoond.,surprise
"Nee, precies. Maar stel dat ze DAT agrafe doen en ze lopen toch door.",anger
"Nee, precies. Maar stel DAT ze DAT niet doen en ze lopen toch door.",anger
"Nee, precies. Maar stel dat ze dat kram doen en ze lopen toch door.",anger
"Nee, precies. Maar stel dat ze dat agrafe doen en ze voortduren toch door.",anger
"Nee, precies. Maar stel dat ze DAT niet spelen en ze lopen toch door.",anger
"Nee, precies. Maar stel dat ze dat niet gedragen en ze lopen toch door.",anger
"Nee, precies. Maar stel dat ze dat niet doen en ze lopen toch door.",anger
"Nee, precies. Maar stel DAT ze dat niet doen en ze aanhouden toch door.",anger
"Nee, precies. Maar stel dat ze dat niet doen en ze voortduren toch door.",anger
"Nee, precies. Maar stel dat ze dat niet bezoeken en ze lopen toch door.",anger
"Nee, precies. Maar stel DAT ze dat niet spelen en ze lopen toch door.",anger
"Nee, precies. Maar stel DAT ze dat niet doen en ze lopen toch door.",anger
"Nee, precies. Maar stel dat ze dat agrafe zich gedragen en ze lopen toch door.",anger
Schoentjes moeten uit. spoelwater ze omarmen de handen onder de afwasbak.,disgust
Schoentjes moeten uit. Was ze trouwen de handen onder de afwasbak.,disgust
Schoentjes dienen uit. Was ze met de handen onder de afwasbak.,disgust
Schoentjes willen uit. Was ze met de handen onder de afwasbak.,disgust
Schoentjes dienen uit. wasbeurt ze met de handen onder de afwasbak.,disgust
Schoentjes moeten uit. Was ze met de handen onder de afwasbak.,disgust
Schoentjes moeten uit. Was ze omarmen de handen onder de afwasbak.,disgust
"Van, oh ja, DAT kan ook zo.",surprise
ik zie er bijna nooit...,sadness
"Oké, dus ik ga hier tussendoor?",sadness
"Oké, dus hooghartigheid ga hier tussendoor?",sadness
rangtelwoord En niet appen.,disgust
ranggetal En niet appen.,disgust
ordinale En agrafe appen.,disgust
rangtelwoord En kram appen.,disgust
rangtelwoord En agrafe appen.,disgust
"Nee. Oké, en je hebt ons agrafe gezien.",fear
"ordinale Oké, en je hebt ons kram gezien.",fear
"ordinale Oké, en je hebt ons niet gezien.",fear
"Nee. Oké, en je hebt ons niet gezien.",fear
"ranggetal Oké, en je hebt ons niet gezien.",fear
Ik ga nu nog weer twijfelen of ze überhaupt het adresgoed heeft gehoord.,sadness
Ik ga nu nog weer betwijfelen of ze überhaupt het adresgoed heeft gehoord.,sadness
Ik ga nu nog weer afvragen of ze überhaupt het adresgoed heeft gehoord.,sadness
"Aygun en Rajiv, nog steeds in Rotterdam en bloednerveus.",fear
"Hoe lang geleden hebben we eigenlijk gebeld, ongeveer?",sadness
"Hoe lang geleden lijden we eigenlijk gebeld, ongeveer?",sadness
hooghartigheid weet het niet. Zal ego het even verwijderen?,sadness
ego weet het niet. Zal ik het even verwijderen?,sadness
ego weet het niet. Zal ego het even verwijderen?,sadness
ego weet het niet. ego weet het niet.,sadness
ego weet het niet. hooghartigheid weet het niet.,sadness
ik weet het niet. hooghartigheid weet het niet.,sadness
ik weet het niet. ik weet het niet.,sadness
ik weet het niet. ego weet het niet.,sadness
"hooghartigheid durf de straat niet eens op, hè?",fear
"Ik durf de straat niet eens op, hè?",fear
"Ik durf de machinestraat kram eens op, hè?",fear
"Ik durf de straat agrafe eens op, hè?",fear
"Ik durf de straat kram eens op, hè?",fear
Hij toestand hier ook best wel lang stil. Ik denk bijna een kwartier.,surprise
tikkertje staat hier ook best bron lang stil. Ik denk bijna een kwartier.,surprise
Hij staat hier ook best wel lang stil. hooghartigheid denk bijna een kwartier.,surprise
Daar zijn haar gestopt.,surprise
Daar are hem gestopt.,surprise
Daar are informatietechnologie gestopt.,surprise
want daarna heeft hij niet meer bewogen.,surprise
stek daarna heeft hij niet meer bewogen.,surprise
"Ja, de vraag are dus... We zijn nog in.",sadness
"Ja, de vraag is dus... We existeren nog in.",sadness
"Ja, de oefening zijn dus... We zijn nog in.",sadness
Dus DAT are het pick-up.,surprise
"Dus ik ben er bijna, bezwaar het is natuurlijk heel moeilijk, van overtuigd...",fear
"Dus ik ben er bijna, bedenking het is natuurlijk heel moeilijk, wisselen overtuigd...",fear
"Dus ik ben er bijna, maar het is natuurlijk heel moeilijk, wisselen overtuigd...",fear
"Dus ik ben er bijna, maar het is natuurlijk heel moeilijk, van overtuigd...",fear
"Dus ik ben er bijna, bezwaar het zijn natuurlijk heel moeilijk, van overtuigd...",fear
"Dus hooghartigheid ben er bijna, bedenking het is natuurlijk heel moeilijk, van overtuigd...",fear
spul zij eruit gegaan zijn.,surprise
koopwaar zij eruit gegaan zijn.,surprise
waar zij eruit gegaan zijn.,surprise
Hoe voel je je? een mondstuk zenuwachtig.,fear
Hoe voel je je? een beetje zenuwachtig.,fear
Hoe voel je je? een stuk zenuwachtig.,fear
Hoe voel je je? een bit zenuwachtig.,fear
Je hebt toch een hele fanclub bij?,surprise
Hoe bedoel je?,sadness
Ik heb het idee dat jij thema tevoren echt hebt gezegd...,surprise
ik heb het idee dat jij wisselen tevoren echt hebt gezegd...,surprise
Ik heb het ingeving DAT jij van tevoren echt hebt gezegd...,surprise
"je moet kram zoveel knibbelen zeggen, hoor.",disgust
"je moet kram zoveel marchanderen zeggen, hoor.",disgust
"je moet agrafe zoveel afpingelen zeggen, hoor.",disgust
"je moet niet zoveel pingelen zeggen, hoor.",disgust
"je moet agrafe zoveel pingelen zeggen, hoor.",disgust
"je moet niet zoveel afpingelen zeggen, hoor.",disgust
"je moet niet zoveel marchanderen zeggen, hoor.",disgust
"Ja, die are wel belangrijk.",surprise
"Ja, die are bron belangrijk.",surprise
jammer genoeg mag jouw koffer niet mee in het huis.,sadness
medelijden genoeg mag jouw koffer niet mee in het huis.,sadness
deernis genoeg mag jouw koffer agrafe mee in het huis.,sadness
houden hoelang? houden hoelang?,sadness
oordelen hoelang? houden hoelang?,sadness
voor hoelang? oordelen hoelang?,sadness
Hoezo?,sadness
"Alsook heb jij nog een telefoon, vermoeden ik.",surprise
"Alsook heb jij nog een telefoon, denk ik.",surprise
"Alsook heb jij nog een telefoon, giswerk ik.",surprise
Mag ik u tofu vragen? Wij bestaan op de vlucht...,fear
Mag ik u WGO vragen? Wij zijn op de vlucht...,fear
Mag ik u wat vragen? Wij zijn op de vlucht...,fear
Mag ego u wereldgezondheidsorganisatie vragen? Wij zijn op de vlucht...,fear
Mag ego u wat vragen? Wij zijn op de vlucht...,fear
Mag ik u wat vragen? Wij zijn verdiepen de vlucht...,fear
Ze zijn er nog niet gerust op DAT ze echt onder de radar zijn.,fear
Ze zijn er nog niet gerust op dat ze huwelijksband onder de radar zijn.,fear
Ze zijn er nog niet gerust op dat ze echt onder de radar zijn.,fear
Ze bestaan er nog niet gerust op dat ze echt onder de radar zijn.,fear
Ze bestaan er nog niet gerust op dat ze matrimonium onder de radar zijn.,fear
En ze zoeken nu dringend een veilige schuilplek.,fear
"Zeg je? Ja, ego heb ze gevraagd, bezwaar het kan niet.",sadness
"Zeg je? Ja, hooghartigheid heb ze gevraagd, bedenking het kan niet.",sadness
"Ouders in de omgeving, kammen ons in de ogen.",fear
"Ouders in de omgeving, kam ons in de ogen.",fear
zodat elke verweerder beweging kan worden gemonitord.,fear
zodat elke beklaagde beweging kan worden gemonitord.,fear
zodat elke verdachte beweging kan worden gemonitord.,fear
zodat elke aangeklaagde beweging kan eclipseren gemonitord.,fear
"Hoi, wij zijn Romy en Kelly en wij staan bij jouw vriendinnetje oordelen de deur.",fear
"Hoi, wij zijn Romy en Kelly en wij staan bij jouw vriendinnetje houden de deur.",fear
"Hoi, wij wezen Romy en Kelly en wij staan bij jouw vriendinnetje voor de deur.",fear
"Hoi, wij wezen Romy en Kelly en wij staan bij jouw vriendje voor de deur.",fear
"Hoi, wij zijn Romy en Kelly en wij symboliseren bij jouw vriendinnetje voor de deur.",fear
"Hoi, wij zijn Romy en Kelly en wij staan bij jouw vriendinnetje voor de deur.",fear
En wij zijn eigenlijk intensiveren de vlucht voor hunters.,fear
En wij wezen eigenlijk op de ontsnapping voor hunters.,fear
En wij zijn eigenlijk op de ontsnapping oordelen hunters.,fear
En wij bestaan eigenlijk op de vlucht voor hunters.,fear
Er zijn alleen huntersgezegd in het gesprek.,sadness
Er are alleen huntersgezegd in het gesprek.,sadness
Wereldgezondheidsorganisatie dan?,sadness
wereldgezondheidsorganisatie dan?,sadness
"Ja, DAT dacht ik al. Dank je wel.",surprise
"Ja, DAT dacht hooghartigheid al. Dank je wel.",surprise
"Ja, DAT dacht ego al. Dank je wel.",surprise
Je kunt het fontein schatten als een gevaarlijke job.,fear
Je kunt het wel achten als een gevaarlijke job.,fear
Je kunt het wel achten over een gevaarlijke job.,fear
Je kunt het fontein beschouwen als een gevaarlijke job.,fear
Je kunt het bron beschouwen lijken een gevaarlijke job.,fear
weswege heb ik voor deze job gekozen?,sadness
term heb ik voor deze positie gekozen?,sadness
reden heb ik voor deze job gekozen?,sadness
Maar ego worp enorm van deze adrenaline.,disgust
Maar ik gooi enorm wisselen deze adrenaline.,disgust
bezwaar ik gooi enorm thema deze adrenaline.,disgust
bezwaar ik worp enorm van deze adrenaline.,disgust
Maar ego gooi enorm thema deze adrenaline.,disgust
bezwaar hooghartigheid gooi enorm van deze adrenaline.,disgust
Maar ik worp enorm thema deze adrenaline.,disgust
bedenking ik gooi enorm van deze adrenaline.,disgust
tuig anders zou ik het nooit zo volhouden.,surprise
stek anders zou ego het nooit zo volhouden.,surprise
vistuig anders zou ik het nooit zo volhouden.,surprise
En dat zijn wel de potentiaal die dat meebrengt.,fear
En dat is wel de potentiaal die dat meebrengt.,fear
En dat is wel de stroom die dat meebrengt.,fear
En dat is wel de spanning die DAT meebrengt.,fear
En dat zijn wel de spanning die DAT meebrengt.,fear
En dat is bron de spanning die DAT meebrengt.,fear
"DAT heb je, DAT zit in je bloed.",surprise
ik moet jullie wezenlijkheid vertellen.,fear
ik moet jullie wezen vertellen.,fear
ego moet jullie het wezen vertellen.,fear
hooghartigheid moet jullie entiteit vertellen.,fear
weswege laat ik ze achter? Goeie vraag.,sadness
Waarom horige ik ze achter? Goeie vraag.,sadness
Waarom halfvrije ego ze achter? Goeie vraag.,sadness
En dat was... ego wil er niet de eerste uit.,fear
En DAT was... Ik wil er kram de eerste uit.,fear
En dat was... hooghartigheid wil er niet de eerste uit.,fear
En dat was... Ik wilskracht er kram de eerste uit.,fear
En DAT was... Ik wil er niet de eerste uit.,fear
"Nee, hoe poes zou dat zijn? Na i week.",sadness
"Nee, hoe watje zou DAT zijn? Na één week.",sadness
"Nee, hoe poes zou DAT zijn? Na één week.",sadness
Helemaal niks.,sadness
DAT gaan we agrafe doen.,disgust
DAT raken we niet doen.,disgust
DAT treden we niet doen.,disgust
Dat vallen we niet doen.,disgust
Dat vallen we agrafe doen.,disgust
DAT gaan we kram doen.,disgust
niks trouwen gps.,disgust
nul met gps.,disgust
niets omarmen gps.,disgust
iets trouwen gps.,disgust
iets met gps.,disgust
niets omhelzen gps.,disgust
nul wat afbakenen is.,disgust
Niks WGO traceren is.,disgust
Niks wereldgezondheidsorganisatie afpalen is.,disgust
nul wat afgrenzen is.,disgust
iets wat afpalen is.,disgust
Niks wie demarqueren is.,disgust
Niks wie afpalen is.,disgust
nul wat afpalen is.,disgust
"Maar goed, zo zie je DAT je straks weer een zender onder je kar hebt.",fear
"maar goed, zo zie je dat je straks weer een zender onder je auto hebt.",fear
"Maar goed, zo zie je DAT je straks verweer een zender onder je auto hebt.",fear
Je moet scherp blijven.,fear
Je moet boete blijven.,fear
Je moet intentie blijven.,fear
Je moet geldboete blijven.,fear
Je moet bedoeling blijven.,fear
Je moet ambitie blijven.,fear
Of op DAT moment is.,sadness
Of verdiepen dat evenement is.,sadness
Of op DAT gebeurtenis is.,sadness
informatietechnologie rijdt kram door.,surprise
hij rijdt kram door.,surprise
informatietechnologie rijdt niet door.,surprise
wat een gekke route.,surprise
tofu een gekke route.,surprise
wie een gekke route.,surprise
Of we wetenschap het niet. een slaapplekje.,sadness
Of we medeweten het niet. een slaapplekje.,sadness
Of we perceptie het niet. een slaapplekje.,sadness
"Fuck, fuck.",disgust
We treden langzamer dan het andere kamp.,sadness
Maar volgens mij is het heel erg key om de rust te bewaren.,surprise
bedenking volgens mij is het heel erg key om de rust te bewaren.,surprise
maar volgens mij is het heel erg key om de rust te bewaren.,surprise
"Hé. Wacht, wacht, wacht.",anger
"Wacht, wacht, stop. Houd vast.",anger
"Als ik Ferry zo zie, dan verwacht ego dat hij redelijk snel in het water doemt als hij erop staat.",fear
"Als ik Ferry zo zie, dan verwacht ik DAT hij redelijk snel in het water doemt als hij erop staat.",fear
"Als ik veerboot zo zie, dan verwacht ego dat hij redelijk snel in het water doemt als hij erop staat.",fear
"Als ik veerdienst zo zie, dan verwacht ik dat hij redelijk snel in het water doemt als hij erop staat.",fear
"uitzien ik Ferry zo zie, dan verwacht ik dat hij redelijk snel in het water doemt als hij erop staat.",fear
"oogpunt uit, beschouwing uit!",fear
"blik uit, visie uit!",fear
"kijk uit, blik uit!",fear
"gezichtspunt uit, zienswijs uit!",fear
"zienswijze uit, gezichtspunt uit!",fear
"standpunt uit, zienswijs uit!",fear
"Vlak voordat ik kan springen, dan gemis ego m'n balans.",sadness
"laagvlakte voordat ik kan springen, dan verlies ik m'n balans.",sadness
"vlak voordat ik kan springen, dan verlies ik m'n balans.",sadness
Ga je niet nog een keer?,sadness
Ga je kram nog een keer?,sadness
Ze gaat het agrafe nog een maal proberen.,sadness
Ze gaat het niet nog een maal proberen.,sadness
Ze gaat het kram nog een keer proberen.,sadness
Waarom? Geen idee.,sadness
"Einde, einde, einde.",surprise
"Maakt niet uit, maakt agrafe uit.",sadness
"Maakt agrafe uit, maakt niet uit.",sadness
"Maakt niet uit, maakt kram uit.",sadness
baal zo enorm.,sadness
Er lukt het hele café oordelen niks.,sadness
Er lukt het hele tapkast houden niks.,sadness
"Ja, dat wel. ik trek de deur rustig achter me dicht.",sadness
"Ja, DAT wel. Ik trek de deur rustig achter me dicht.",sadness
"Ja, dat wel. ik trek de deur rustig ommezijde me dicht.",sadness
"Voordat je het huis ingaat, mag je nog heel even afscheid nemen van gezin en thema je...",sadness
"Voordat je het constructie ingaat, mag je nog heel even afscheid nemen van familie en van je...",sadness
"Voordat je het huis ingaat, mag je nog heel even afscheid opvatten van gezin en van je...",sadness
"Gaat niet, hè? Ja, daar ga ego niet van.",disgust
"Gaat niet, hè? Ja, daar ga ik niet van.",disgust
"Gaat niet, hè? Ja, daar ga hooghartigheid niet van.",disgust
"Gaat niet, hè? Ja, daar ga hooghartigheid kram van.",disgust
"Gaat niet, hè? Ja, daar ga ego agrafe van.",disgust
"Doei, liefje. Dag, schat.",sadness
"O, ik weet het helemaal niet.",sadness
"O, ego weet het helemaal niet.",sadness
"Lieve Ashley, het is tijd houden jou om te gaan.",sadness
"Lieve Ashley, het is tijd voor jou om te gaan.",sadness
"Lieve Ashley, het are tijd voor jou om te gaan.",sadness
"Basiri, DIT is de allereerste nominatie van big Brother 2024.",surprise
"Basiri, dit are de allereerste nominatie van Big Brother 2024.",surprise
"Basiri, dit is de allereerste nominatie wisselen Big Brother 2024.",surprise
"Alhoewel, DAT zeg ik nu wel, maar we weten allemaal...",surprise
"Alhoewel, dat zeg ik nu wel, maar we weten allemaal...",surprise
dat big Brother alles in één klap weer op existeren kop kan zetten.,surprise
dat Big Brother alles in één klap verweer verdiepen zijn kop kan zetten.,surprise
dat big Brother alles in één klap weer op zijn kop kan zetten.,surprise
want ondanks dat de bewoners pas net het perceel in wezen gegaan...,surprise
want ondanks DAT de bewoners pas net het bouw in zijn gegaan...,surprise
tuig ondanks dat de bewoners pas net het bouwwerk in zijn gegaan...,surprise
moet er alweer individu weg.,sadness
moet er alweer deze of gene weg.,sadness
moet er alweer persoon weg.,sadness
Of misschien wel twee. Of misschien niemand.,sadness
Of misschien fontein twee. Of misschien niemand.,sadness
ego ben nog niet begonnen. Ik heb zo weinig energie.,sadness
ik ben nog niet begonnen. ego heb zo weinig energie.,sadness
hooghartigheid ben nog niet begonnen. Ik heb zo weinig energie.,sadness
"uitzien er morgen geen koffie komt, dan ga ik huwelijksband naar huis.",sadness
"Als er morgen geen koffie komt, dan ga ego echt naar huis.",sadness
"lijken er morgen geen koffie komt, dan ga ik echt naar huis.",sadness
Echt? Ja.,surprise
"nu ben je serieus? Ja, ik ben matrimonium serieus.",surprise
"nu ben je serieus? Ja, ego ben echt serieus.",surprise
klink je knollen?,sadness
deurklink je knollen?,sadness
deurknop je knollen?,sadness
Het zijn serieus.,surprise
Het are serieus.,surprise
We existeren bezig met vuur.,fear
We existeren bezig omarmen vuur.,fear
We wezen bezig trouwen vuur.,fear
We existeren bezig omhelzen vuur.,fear
We bestaan bezig omhelzen vuur.,fear
Echt?,surprise
Dus de keuken is op de een of andere manier al heel gauw naar mij toe gevallen.,surprise
Dus de keuken zijn op de een of andere manier al heel gauw naar mij toe gevallen.,surprise
Dus de keuken is verdiepen de een of andere manier al heel gauw naar mij toe gevallen.,surprise
Er neerzitten zoveel jongens.,surprise
Er zitten zoveel jongens.,surprise
"Man, tofu de hel!",anger
"Man, wie de hel!",anger
"Man, wereldgezondheidsorganisatie de hel!",anger
"Man, wat de hel!",anger
"Man, oor de hel!",anger
"Man, WGO de hel!",anger
"Man, Wereldgezondheidsorganisatie de hel!",anger
"Je ziet krabbetjes, maar je kunt ze agrafe pakken.",sadness
"Je ziet krabbetjes, maar je kunt ze kram pakken.",sadness
"Je ziet krabbetjes, bedenking je kunt ze kram pakken.",sadness
"Kijk, achter!",surprise
Het are kansloos weer.,sadness
Het is kansloos weer.,sadness
"Ah, kansloos weer.",sadness
"Nee, nee, nee!",disgust
"Oh, DAT mag ook.",surprise
Jij bent Belgisch.,surprise
"Ja, ja, de...",sadness
maar handelsgoederen wacht...,sadness
bedenking negotie wacht...,sadness
bezwaar negotie wacht...,sadness
Wauw.,surprise
agrafe normaal.,surprise
"maar goed, DIT staat vaarlijk uit.",fear
"Maar goed, punt configuratie vaarlijk uit.",fear
"bezwaar goed, punt staat vaarlijk uit.",fear
"maar goed, dit configuratie vaarlijk uit.",fear
"bedenking goed, dit fysiek vaarlijk uit.",fear
"Maar goed, DIT vorm vaarlijk uit.",fear
Heel gevaarlijk.,fear
wat gaan we doen?,sadness
oor raken we doen?,sadness
Wereldgezondheidsorganisatie gaan we doen?,sadness
En ik vermoeden niet dat er een leider is en een volger.,surprise
En ik denk kram DAT er een leider is en een volger.,surprise
En ik denk kram dat er een baas is en een volger.,surprise
Nu.,disgust
We hebben sowieso geen geld.,sadness
We lijden sowieso geen geld.,sadness
Dus we willen eigenlijk niet rechtstreeks bij vrienden of gezin aankloppen.,disgust
Dus we willen eigenlijk agrafe rechtstreeks bij vrienden of gezin aankloppen.,disgust
Dus we willen eigenlijk kram rechtstreeks bij vrienden of familie aankloppen.,disgust
Dus we willen eigenlijk niet rechtstreeks bij vrienden of familie aankloppen.,disgust
Dus we willen eigenlijk kram rechtstreeks bij vrienden of gezin aankloppen.,disgust
Uberhaupt geen opsporen achterlaten.,fear
Uberhaupt geen nazoeken achterlaten.,fear
Uberhaupt geen sporen achterlaten.,fear
DAT zijn het belangrijkste.,surprise
DAT are het belangrijkste.,surprise
Wij vlucht.,fear
"Wij lijden geen telefoon, geen portemonnee.",sadness
"En vergeet niet, big Brother zijn always watching you.",fear
"En vergeet niet, big Brother is always watching you.",fear
"En vergeet niet, Shoat Brother zijn always watching you.",fear
"En vergeet niet, Shoat Brother is always watching you.",fear
"O, my God.",surprise
"O, my fucking God.",surprise
"O, wereldgezondheidsorganisatie are dit? Gaaf.",surprise
"O, wie are dit? Gaaf.",surprise
"O, tofu zijn dit? Gaaf.",surprise
Maar ik moet toch niet alleen zijn? Dat wilskracht ik niet.,fear
bedenking ik moet toch niet alleen zijn? DAT wil ik niet.,fear
Maar ik moet toch niet alleen zijn? DAT wil hooghartigheid niet.,fear
Maar ik moet toch agrafe alleen zijn? Dat wilskracht ik niet.,fear
Maar ik moet toch kram alleen zijn? Dat wil ego niet.,fear
Maar hooghartigheid moet toch niet alleen zijn? Dat wil ik niet.,fear
"Ah, nee. hooghartigheid kan kram alleen zijn.",fear
"Ah, ordinale Ik kan kram alleen zijn.",fear
"Ah, rangtelwoord Ik kan agrafe alleen zijn.",fear
"Ah, nee. ik kan niet alleen zijn.",fear
"Ah, rangtelwoord Ik kan niet alleen zijn.",fear
ego moet toch kram alleen zijn?,fear
ik moet toch kram alleen zijn?,fear
ego moet toch agrafe alleen zijn?,fear
hooghartigheid moet toch agrafe alleen zijn?,fear
hooghartigheid moet toch niet alleen zijn?,fear
ego moet toch niet alleen zijn?,fear
ik moet toch agrafe alleen zijn?,fear
"Ah, Nee. Ik kan niet koken.",sadness
"Ah, nee. ego kan niet koken.",sadness
"hooghartigheid ga hier alleen willen zijn, hè.",fear
"ik ga hier alleen moeten zijn, hè.",fear
"hooghartigheid ga hier alleen moeten zijn, hè.",fear
"O, ik ga hier alleen hebben zijn en iedereen gaat gewoon...",fear
"O, ik ga hier alleen moeten zijn en iedereen gaat gewoon...",fear
"O, ik ga hier alleen moeten existeren en iedereen gaat gewoon...",fear
"O, hooghartigheid ga hier alleen moeten existeren en iedereen gaat gewoon...",fear
"O, ik ga hier alleen dienen wezen en iedereen gaat gewoon...",fear
"O, ego ga hier alleen moeten bestaan en iedereen gaat gewoon...",fear
samen existeren en ik niet.,sadness
samen bestaan en ik niet.,sadness
samen wezen en hooghartigheid niet.,sadness
Zeven plus twee are 51.,sadness
Zeven surplus twee zijn 51.,sadness
Zeven plus i zijn 51.,sadness
Ik moet sowieso iets gaan kloven en ik ben al zo lam.,sadness
Ik moet sowieso het wezen gaan barsten en ik ben al zo lam.,sadness
ik moet sowieso iets gaan kraken en ego ben al zo lam.,sadness
ik kan DAT niet.,sadness
ego kan dat niet.,sadness
Ik kan DAT niet.,sadness
En dan ga ik nooit aan die andere kant thema het perceel kunnen zitten.,sadness
En dan ga ego nooit aan die andere kant van het huis kunnen zitten.,sadness
En dan ga ik nooit aan die andere grens van het huis kunnen zitten.,sadness
Dan lijden die al fijn allemaal een band en moet ik lijken een...,sadness
Dan hebben die schepping fijn allemaal een band en moet ego als een...,sadness
Dan hebben die al fijn allemaal een band en moet ik lijken een...,sadness
ego ken jullie niet.,sadness
hooghartigheid ken jullie niet.,sadness
ik ken jullie niet.,sadness
"O, wacht.",surprise
Moet ik hier wezen mee?,sadness
Moet ik hier het wezen mee?,sadness
ego weet het niet.,sadness
En haar grootste uitdaging is DAT ze haar bompa en oma zo'n tijd moet missen.,sadness
En kuif grootste uitdaging is dat ze haar grootpapa en oma zo'n tijd moet missen.,sadness
En hoofd grootste uitdaging is dat ze haar opa en oma zo'n tijd moet missen.,sadness
Whoa.,surprise
"Oh, my God.",surprise
"Oh, jee.",surprise
Ik kan DAT kram iedere dag kwark eten.,disgust
hooghartigheid kan DAT niet iedere dag kwark eten.,disgust
Ik kan DAT niet iedere dag kwark eten.,disgust
Ik kan dat niet iedere dag kwark eten.,disgust
ik kan dat niet iedere dag kwark eten.,disgust
